"Country or Area";"Year";"Area";"Type of household";"Sex of reference person";"Marital status of reference person";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Bulgaria";"2011";"Total";"Non-nuclear household";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"73322";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"290920";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"99269";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"50806";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"4273";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"366511";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"51155";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"270131";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"21769";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"20909";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"2547";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"152079";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"22167";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"20789";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"77500";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"29897";""
"Bulgaria";"2011";"Total";"Non-nuclear household";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"1726";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"268301";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"28025";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"165221";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"47188";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"25538";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"2329";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"194980";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"20559";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"151831";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"11956";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"9258";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"1376";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"73321";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"7466";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"13390";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"35232";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"16280";""
"Bulgaria";"2011";"Total";"A single family nucleus and other persons";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"953";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"141425";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"8192";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"118765";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"8984";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"4781";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"703";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"124626";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"6513";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"113872";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"2075";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"1698";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"468";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"16799";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"1679";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"4893";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"6909";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"3083";""
"Bulgaria";"2011";"Total";"Two or more familiy nuclei";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"235";""
"Bulgaria";"2011";"Total";"Other";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"108864";""
"Bulgaria";"2011";"Total";"Other";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"37105";""
"Bulgaria";"2011";"Total";"Other";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"6934";""
"Bulgaria";"2011";"Total";"Other";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"43097";""
"Bulgaria";"2011";"Total";"Other";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"20487";""
"Bulgaria";"2011";"Total";"Other";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"1241";""
"Bulgaria";"2011";"Total";"Other";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"46905";""
"Bulgaria";"2011";"Total";"Other";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"24083";""
"Bulgaria";"2011";"Total";"Other";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"4428";""
"Bulgaria";"2011";"Total";"Other";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"7738";""
"Bulgaria";"2011";"Total";"Other";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"9953";""
"Bulgaria";"2011";"Total";"Other";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"703";""
"Bulgaria";"2011";"Total";"Other";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"61959";""
"Bulgaria";"2011";"Total";"Other";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"13022";""
"Bulgaria";"2011";"Total";"Other";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"2506";""
"Bulgaria";"2011";"Total";"Other";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"35359";""
"Bulgaria";"2011";"Total";"Other";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"10534";""
"Bulgaria";"2011";"Total";"Other";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2012";"538";""
"Bulgaria";"2001";"Total";"Total";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"2921887";""
"Bulgaria";"2001";"Total";"Total";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"316087";""
"Bulgaria";"2001";"Total";"Total";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1834856";""
"Bulgaria";"2001";"Total";"Total";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"534639";""
"Bulgaria";"2001";"Total";"Total";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"216912";""
"Bulgaria";"2001";"Total";"Total";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"19393";""
"Bulgaria";"2001";"Total";"Total";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"2193980";""
"Bulgaria";"2001";"Total";"Total";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"209556";""
"Bulgaria";"2001";"Total";"Total";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1766178";""
"Bulgaria";"2001";"Total";"Total";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"120282";""
"Bulgaria";"2001";"Total";"Total";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"87939";""
"Bulgaria";"2001";"Total";"Total";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"10025";""
"Bulgaria";"2001";"Total";"Total";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"727907";""
"Bulgaria";"2001";"Total";"Total";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"106531";""
"Bulgaria";"2001";"Total";"Total";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"68678";""
"Bulgaria";"2001";"Total";"Total";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"414357";""
"Bulgaria";"2001";"Total";"Total";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"128973";""
"Bulgaria";"2001";"Total";"Total";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"9368";""
"Bulgaria";"2001";"Total";"One-person household";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"662853";""
"Bulgaria";"2001";"Total";"One-person household";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"188097";""
"Bulgaria";"2001";"Total";"One-person household";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"33150";""
"Bulgaria";"2001";"Total";"One-person household";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"344234";""
"Bulgaria";"2001";"Total";"One-person household";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"90237";""
"Bulgaria";"2001";"Total";"One-person household";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"7135";""
"Bulgaria";"2001";"Total";"One-person household";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"260753";""
"Bulgaria";"2001";"Total";"One-person household";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"111132";""
"Bulgaria";"2001";"Total";"One-person household";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"23254";""
"Bulgaria";"2001";"Total";"One-person household";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"74736";""
"Bulgaria";"2001";"Total";"One-person household";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"47611";""
"Bulgaria";"2001";"Total";"One-person household";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"4020";""
"Bulgaria";"2001";"Total";"One-person household";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"402100";""
"Bulgaria";"2001";"Total";"One-person household";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"76965";""
"Bulgaria";"2001";"Total";"One-person household";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"9896";""
"Bulgaria";"2001";"Total";"One-person household";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"269498";""
"Bulgaria";"2001";"Total";"One-person household";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"42626";""
"Bulgaria";"2001";"Total";"One-person household";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"3115";""
"Bulgaria";"2001";"Total";"Nuclear household";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1713330";""
"Bulgaria";"2001";"Total";"Nuclear household";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"82157";""
"Bulgaria";"2001";"Total";"Nuclear household";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1448822";""
"Bulgaria";"2001";"Total";"Nuclear household";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"89001";""
"Bulgaria";"2001";"Total";"Nuclear household";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"84772";""
"Bulgaria";"2001";"Total";"Nuclear household";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"8578";""
"Bulgaria";"2001";"Total";"Nuclear household";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1520199";""
"Bulgaria";"2001";"Total";"Nuclear household";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"67253";""
"Bulgaria";"2001";"Total";"Nuclear household";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1403849";""
"Bulgaria";"2001";"Total";"Nuclear household";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"20359";""
"Bulgaria";"2001";"Total";"Nuclear household";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"24587";""
"Bulgaria";"2001";"Total";"Nuclear household";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"4151";""
"Bulgaria";"2001";"Total";"Nuclear household";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"193131";""
"Bulgaria";"2001";"Total";"Nuclear household";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"14904";""
"Bulgaria";"2001";"Total";"Nuclear household";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"44973";""
"Bulgaria";"2001";"Total";"Nuclear household";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"68642";""
"Bulgaria";"2001";"Total";"Nuclear household";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"60185";""
"Bulgaria";"2001";"Total";"Nuclear household";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"4427";""
"Bulgaria";"2001";"Total";"Couple with children";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"908508";""
"Bulgaria";"2001";"Total";"Couple with children";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"44491";""
"Bulgaria";"2001";"Total";"Couple with children";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"848341";""
"Bulgaria";"2001";"Total";"Couple with children";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1813";""
"Bulgaria";"2001";"Total";"Couple with children";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"11739";""
"Bulgaria";"2001";"Total";"Couple with children";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"2124";""
"Bulgaria";"2001";"Total";"Couple with children";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"884939";""
"Bulgaria";"2001";"Total";"Couple with children";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"41953";""
"Bulgaria";"2001";"Total";"Couple with children";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"831722";""
"Bulgaria";"2001";"Total";"Couple with children";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1071";""
"Bulgaria";"2001";"Total";"Couple with children";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"8320";""
"Bulgaria";"2001";"Total";"Couple with children";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1873";""
"Bulgaria";"2001";"Total";"Couple with children";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"23569";""
"Bulgaria";"2001";"Total";"Couple with children";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"2538";""
"Bulgaria";"2001";"Total";"Couple with children";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"16619";""
"Bulgaria";"2001";"Total";"Couple with children";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"742";""
"Bulgaria";"2001";"Total";"Couple with children";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"3419";""
"Bulgaria";"2001";"Total";"Couple with children";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"251";""
"Bulgaria";"2001";"Total";"Couple without children";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"614215";""
"Bulgaria";"2001";"Total";"Couple without children";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"23441";""
"Bulgaria";"2001";"Total";"Couple without children";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"574573";""
"Bulgaria";"2001";"Total";"Couple without children";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"5419";""
"Bulgaria";"2001";"Total";"Couple without children";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"9564";""
"Bulgaria";"2001";"Total";"Couple without children";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1218";""
"Bulgaria";"2001";"Total";"Couple without children";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"598935";""
"Bulgaria";"2001";"Total";"Couple without children";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"20799";""
"Bulgaria";"2001";"Total";"Couple without children";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"565791";""
"Bulgaria";"2001";"Total";"Couple without children";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"3831";""
"Bulgaria";"2001";"Total";"Couple without children";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"7452";""
"Bulgaria";"2001";"Total";"Couple without children";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1062";""
"Bulgaria";"2001";"Total";"Couple without children";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"15280";""
"Bulgaria";"2001";"Total";"Couple without children";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"2642";""
"Bulgaria";"2001";"Total";"Couple without children";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"8782";""
"Bulgaria";"2001";"Total";"Couple without children";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1588";""
"Bulgaria";"2001";"Total";"Couple without children";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"2112";""
"Bulgaria";"2001";"Total";"Couple without children";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"156";""
"Bulgaria";"2001";"Total";"Single parent with children";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"190607";""
"Bulgaria";"2001";"Total";"Single parent with children";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"14225";""
"Bulgaria";"2001";"Total";"Single parent with children";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"25908";""
"Bulgaria";"2001";"Total";"Single parent with children";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"81769";""
"Bulgaria";"2001";"Total";"Single parent with children";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"63469";""
"Bulgaria";"2001";"Total";"Single parent with children";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"5236";""
"Bulgaria";"2001";"Total";"Single parent with children";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"36325";""
"Bulgaria";"2001";"Total";"Single parent with children";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"4501";""
"Bulgaria";"2001";"Total";"Single parent with children";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"6336";""
"Bulgaria";"2001";"Total";"Single parent with children";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"15457";""
"Bulgaria";"2001";"Total";"Single parent with children";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"8815";""
"Bulgaria";"2001";"Total";"Single parent with children";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1216";""
"Bulgaria";"2001";"Total";"Single parent with children";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"154282";""
"Bulgaria";"2001";"Total";"Single parent with children";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"9724";""
"Bulgaria";"2001";"Total";"Single parent with children";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"19572";""
"Bulgaria";"2001";"Total";"Single parent with children";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"66312";""
"Bulgaria";"2001";"Total";"Single parent with children";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"54654";""
"Bulgaria";"2001";"Total";"Single parent with children";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"4020";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"545704";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"45833";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Total";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"352884";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Total";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"101404";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Total";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"41903";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Total";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"3680";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Male";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"413028";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Male";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"31171";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Male";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"339075";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Male";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"25187";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Male";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"15741";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Male";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1854";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Female";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"132676";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Female";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"14662";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Female";"Married";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"13809";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Female";"Widowed and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"76217";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Female";"Divorced and not remarried";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"26162";""
"Bulgaria";"2001";"Total";"Non-nuclear household";"Female";"Married but separated";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"1826";""
"Bulgaria";"2001";"Total";"A single family nucleus and other persons";"Total";"Total";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"265722";""
"Bulgaria";"2001";"Total";"A single family nucleus and other persons";"Total";"Single (never married)";"Census - de jure - complete tabulation";"Final figure, complete";"2009";"12217";""
